Timestamp,Gender,caffeine,hot_iced,sweetness,Cups_day
4/3/2024 12:06:05,Female,Coffee,Iced,8,1
4/3/2024 12:08:45,Female,Coffee,Iced,3,1
4/3/2024 12:10:15,Female,Tea,Hot,5,2
4/3/2024 12:10:20,Male,Coffee,Iced,1,2
4/3/2024 12:11:22,Male,Coffee,Hot,6,1
4/3/2024 12:15:16,Male,Coffee,Iced,8,10
4/3/2024 12:15:56,Male,Tea,Iced,5,1
4/3/2024 12:16:21,Male,Coffee,Iced,6,2
4/3/2024 12:16:57,Male,Coffee,Iced,0,2
4/3/2024 12:21:26,Female,Coffee,Iced,2,1
4/3/2024 12:27:35,Male,Tea,Hot,4,2
4/3/2024 12:29:24,Male,Tea,Iced,7,1
4/3/2024 12:29:44,Female,Coffee,Hot,0,2
4/3/2024 12:30:25,Female,Coffee,Hot,1,3
4/3/2024 12:30:39,Male,Coffee,Iced,6,1
4/3/2024 12:32:38,Female,Coffee,Iced,7,2
4/3/2024 12:36:20,Female,Coffee,Iced,5,1
4/3/2024 12:38:45,Female,Tea,Iced,8,1
4/3/2024 12:40:47,Male,Coffee,Iced,3,1
4/3/2024 12:42:59,Female,Tea,Iced,7,3
4/3/2024 12:48:00,Female,Tea,Iced,7,1
4/3/2024 12:50:30,Male,Coffee,Iced,2,1
4/3/2024 12:51:58,Female,Coffee,Hot,7,2
4/3/2024 12:53:21,Female,Tea,Iced,6,1
4/3/2024 12:56:26,Female,Coffee,Iced,0,1
4/3/2024 12:56:53,Female,Coffee,Iced,4,1
4/3/2024 13:01:57,Female,Coffee,Iced,1,2
4/3/2024 13:02:32,Male,Coffee,Hot,7,1
4/3/2024 13:04:22,Female,Coffee,Iced,9,2
4/3/2024 13:04:42,Male,Tea,Iced,4,1
4/3/2024 13:06:25,Female,Coffee,Hot,1,3
4/3/2024 13:06:33,Male,Coffee,Iced,0,1
4/3/2024 13:08:10,Female,Coffee,Iced,3,2
4/3/2024 13:13:20,Female,Coffee,Iced,6,1
4/3/2024 13:13:47,Female,Coffee,Hot,2,2
4/3/2024 13:22:11,Female,Coffee,Hot,5,1
